store_id,verification_num,store_type,store_name,address,city,zip_code
44,9,1,נתניה - חדש הרצל 23,הרצל 23,נתניה,4243006
48,3,1,נס ציונה - הבנים,הבנים 1,נס ציונה,7407101
51,1,1,תל אביב - כיכר רבין,בלוך 2,תל אביב,6416108
102,5,1,תל אביב - קינג ג'ורג',קינג ג'ורג' 25,תל אביב - יפו,6329015
115,1,1,כפר סבא - ויצמן,ויצמן 113,תל אביב,4422504
124,6,1,רמת גן - ביאליק 47,ביאליק 47,רמת גן,5246112
129,3,1,חולון - סוקולוב,סוקולוב 80,חולון,5833010
130,0,1,נתניה - ישן הרצל 32,הרצל 32,נתניה,4239203
131,5,1,אריאל - מוריה,מוריה 2,אריאל,4070833
137,0,1,"מוצקין - רבמ""ד",שדרות בן גוריון 80,קרית מוצקין,2642435
141,4,1,תל אביב - פלורנטין,פלורנטין 18,תל אביב,6608319
142,0,1,תל אביב - עולי ציון,עולי ציון 10,תל אביב,6813119
145,6,1,בת ים - בלפור,בלפור 62,בת ים,5937826
146,4,1,ראשון לציון - הרצל,הרצל 70,ראשון לציון,7526728
148,0,1,רמת גן - ביאליק 64,ביאליק 64,רמת גן,5244128
149,7,1,תל אביב - ויצמן,ויצמן 24,תל אביב,6423003
150,3,1,תל אביב - אבן גבירול (בית וואלה),אבן גבירול 166,תל אביב,6407718
151,1,1,חיפה - כיכר מאירוף,כיכר מאירהוף 44,חיפה,3515319
156,6,1,תל אביב - אלנבי 66,אלנבי 66,תל אביב,6581203
301,0,1,גבעתיים - ויצמן,ויצמן 16,גבעתיים,5339003
401,7,1,"רחובות - ביל""ו","ביל""ו 50",רחובות,7644231
403,4,1,חדרה - הרברט סמואל,הרברט סמואל 89,חדרה,3820005
450,0,1,הוד השרון - הבנים,הבנים 12,הוד השרון,4526814
501,1,1,תל אביב - שוסטר,אבא אחימאיר 19,תל אביב,6949205
601,5,1,הרצליה - סוקולוב,סוקולוב 65,הרצליה,4649796
605,1,1,הרצליה - שבעת הכוכבים,שדרות שבעת הכוכבים 8,הרצליה,4650504
650,0,1,נשר - בר יהודה,דרך בר יהודה 96,נשר,3665114
701,2,1,באר שבע - תחנה מרכזית,יצחק בן צבי 4,באר שבע,8489322
702,1,1,באר שבע - G7,יהודה הנחתום 10,באר שבע,8424905
750,0,1,תל אביב - דיזינגוף,דיזנגוף 178,תל אביב,6346213
751,0,1,רעננה - אחוזה,אחוזה 144,רעננה,4330011
752,0,1,קרית אונו - קניון אונו,המלך שלמה 37,קרית אונו,5542133
753,0,1,חולון - פרימיום,המשביר 1,חולון,5885214
754,0,1,בני ברק - ז'בוטינסקי,ז'בוטינסקי 168,בני ברק,5136004
804,0,1,תל אביב - שכונת התקווה,"האצ""ל 9",תל אביב,6763113
850,0,1,תל אביב - חצרות יפו,דרך שלמה 1,תל אביב - יפו,6811111
903,0,1,כרמיאל - מיי סנטר,מעלה כמון 9,כרמיאל,2165008
905,2,1,שדרות - קופנהגן,קופנהגן 1,שדרות,8714517
908,4,1,באר שבע - סורוקה,שדרות יצחק רגר 151,באר שבע,8457108
909,7,1,בית שמש - יגאל אלון,יגאל אלון 6,בית שמש,9906206
910,4,1,קרית גת - איי סולומון,דרך הדרום 20,קרית גת,8211821
911,1,1,נתיבות - המלאכה,בעלי המלאכה 200,נתיבות,8776201
912,7,1,באר שבע - סינימה סיטי,החיטה 1,באר שבע,8424617
950,0,1,פתח תקווה - שטמפפר,שטמפפר 13,פתח תקווה,4926207
952,0,1,פתח תקווה - גיסין,אבשלום גיסין 15,פתח תקווה,4922271
